SPEED,LANE_CHANGES,BRIGHTNESS,INTENT
 59.4,3,5,2
 57.0,0,2,0
 58.7,1,4,0
 63.0,0,1,1
 57.5,0,2,0
 63.6,5,5,2
 66.7,0,2,1
 59.1,2,4,0
 57.9,0,4,0
 63.2,5,6,2
 61.9,5,2,2
 55.5,0,3,0
 63.0,5,6,2
 58.6,0,3,0
 58.5,4,9,2
 59.2,1,7,1
 65.3,6,1,2
 59.3,4,9,2
 61.3,5,6,2
 60.5,5,10,2
 67.5,4,9,2
 57.3,0,4,0
 62.9,3,2,1
 64.5,4,7,1
 60.5,2,7,1
 58.9,1,2,0
 57.8,1,2,0
 57.3,1,5,0
 57.1,0,3,0
 58.8,0,5,0
 62.1,2,5,1
 58.2,2,5,1
 60.9,5,1,2
 60.1,0,6,1
 57.1,0,3,0
 58.0,0,3,0
 57.2,3,4,0
 60.7,1,5,1
 60.8,1,6,1
 61.2,0,6,1
 60.2,0,4,0
 58.3,0,3,0
 63.4,5,10,2
 59.0,0,2,0
 59.8,0,6,1
 63.8,3,6,2
 57.0,0,1,0
 58.9,3,9,2
 68.3,3,9,2
 55.0,0,3,0
 58.3,2,1,0
 56.0,0,1,0
 59.5,1,3,0
 60.0,0,4,0
 68.2,5,5,2
 60.8,0,7,1
 58.1,1,1,0
 61.5,3,1,2
 57.0,0,5,0
 62.2,3,2,2
 64.1,5,10,2
 63.1,3,1,2
 62.1,5,9,2
 62.7,5,10,2
 57.2,0,4,0
 61.6,4,5,2
 61.4,2,4,1
 60.1,3,8,1
 57.0,0,2,0
 65.2,3,3,1
 59.9,0,3,0
 64.1,3,3,1
 56.6,0,4,0
 60.6,2,5,2
 56.5,2,2,0
 61.6,3,7,1
 57.0,1,3,0
 61.9,0,6,1
 56.9,0,2,0
 61.0,3,3,1
 59.4,0,4,0
 65.6,4,2,2
 56.6,1,5,0
 63.7,2,5,1
 64.5,2,4,1
 64.8,4,5,2
 64.0,0,6,1
 63.5,2,6,2
 60.8,4,1,2
 60.0,1,1,0
 62.2,4,4,1
 59.5,4,1,2
 62.4,4,10,2
 58.3,2,2,0
 66.0,5,9,2
 58.2,3,6,1
 60.1,0,3,0
 62.2,3,5,2
 64.5,4,9,2
 56.6,0,3,0
 61.2,3,4,1
 63.5,1,4,1
 61.8,3,7,1
 60.7,4,5,2
 62.0,3,10,2
 60.4,0,2,0
 56.1,3,5,0
 59.9,5,5,2
 63.5,4,5,2
 60.8,4,2,1
 62.4,6,1,2
 57.9,0,4,0
 66.5,5,2,2
 56.5,0,3,0
 62.8,1,4,1
 62.6,2,2,1
 63.1,4,9,2
 61.1,2,5,1
 57.3,3,2,0
 55.7,2,5,0
 65.0,5,10,2
 60.1,3,7,1
 59.2,0,2,1
 59.6,1,4,1
 55.6,0,3,0
 63.3,3,5,1
 57.2,0,4,0
 58.5,0,4,0
 63.1,3,6,1
 64.5,6,9,2
 61.0,3,3,1
 57.6,0,3,0
 56.7,0,3,0
 57.7,2,3,0
 56.4,0,4,0
 64.4,3,4,1
 60.4,1,1,1
 61.1,6,9,2
 61.5,4,5,2
 60.6,5,5,2
 55.2,1,4,0
 64.4,3,5,1
 61.2,2,3,0
 63.8,4,5,2
 59.0,3,2,0
 62.1,4,5,2
 60.9,0,7,1
 63.5,4,2,2
 56.7,0,3,0
 56.2,0,4,0
 59.3,0,2,0
 59.1,4,1,2
 59.8,3,7,1
 58.8,0,2,0
 62.2,2,4,1
 62.2,2,7,1
 67.2,5,9,2
 62.7,2,4,1
 65.4,3,2,2
 61.0,2,1,1
 56.5,0,1,0
 60.6,2,7,1
 62.6,5,2,2
 63.9,3,10,2
 61.4,0,2,0
 66.3,3,2,1
 62.8,4,5,2
 54.7,0,1,0
 59.5,1,1,0
 58.0,3,4,0
 61.2,1,4,1
 64.2,3,9,2
 61.9,5,1,2
 66.2,3,7,1
 60.4,5,5,2
 62.4,1,5,1
 60.9,2,2,1
